Configuration,Iteration,The initial best way,Its distance,The best way after algorithm,Its distance,Last generation
SL-B CR-OX PR-25,5,9 25 14 11 3 7 4 30 22 16 6 5 1 15 19 13 17 28 12 23 21 20 18 27 24 2 8 10 26 29 ,2123190,13 28 5 6 16 2 10 9 26 3 21 8 30 11 18 22 20 24 12 17 23 1 27 4 14 7 25 29 19 15 ,2025140,238
SL-UT-C CR-OX PR-16,3,14 9 24 12 2 13 17 5 10 19 25 28 29 8 15 7 16 18 20 27 3 6 21 4 11 1 23 22 26 30 ,2132640,1 9 13 24 30 2 17 26 10 19 25 28 29 8 15 7 16 18 20 27 3 6 4 11 23 22 14 21 5 12 ,2025920,46
SL-B CR-PMX PR-25,1,14 7 23 19 30 6 8 5 18 16 27 15 1 4 20 22 24 13 10 11 26 25 3 17 29 2 9 28 12 21 ,2121300,4 2 17 19 29 24 21 7 8 1 20 5 9 23 12 13 3 18 14 28 10 6 16 27 26 11 25 15 30 22 ,2028700,55
SL-B CR-OX PR-16,5,10 12 13 3 18 2 22 17 21 26 8 4 15 11 25 23 20 7 24 5 6 29 27 16 30 14 28 1 9 19 ,2102590,7 20 22 16 11 15 6 27 8 21 28 18 24 10 29 5 12 14 3 23 1 13 4 2 26 25 30 17 19 9 ,2028840,144
SL-B CR-OX PR-25,1,3 24 26 30 28 16 13 21 20 12 22 4 14 17 8 9 27 18 11 2 23 5 6 15 1 10 29 7 25 19 ,2154290,18 7 11 8 30 4 28 5 13 19 27 22 6 21 3 23 10 9 24 26 15 16 29 14 2 1 25 17 12 20 ,2028980,283
SL-UT-C CR-PMX PR-50,1,23 14 30 12 1 22 18 17 24 25 19 21 27 4 16 20 2 8 7 26 15 3 11 29 6 9 5 28 13 10 ,2124570,29 6 8 15 14 26 27 5 21 4 20 16 10 1 28 2 24 13 18 12 22 7 19 11 3 25 30 17 23 9 ,2029230,12
SL-UT-C CR-OX PR-25,5,10 3 15 19 11 18 25 16 20 29 17 22 8 24 7 14 1 12 13 28 21 4 2 26 6 23 9 5 30 27 ,2108420,23 16 19 22 6 29 3 21 17 2 9 5 24 13 15 28 7 14 10 25 12 20 26 11 18 8 30 1 27 4 ,2029570,30
SL-UT CR-OX PR-16,4,14 3 29 19 10 18 28 2 27 23 15 12 20 25 24 17 13 4 22 9 6 26 7 21 11 30 5 16 1 8 ,2147020,10 20 13 7 26 19 11 12 5 18 27 28 14 24 25 21 16 9 1 3 6 2 8 15 17 29 4 30 23 22 ,2031030,63
SL-UT CR-OX PR-50,5,3 20 4 21 25 12 5 29 16 19 9 28 18 1 11 7 27 23 14 13 17 26 30 8 6 10 2 15 24 22 ,2130010,7 9 25 27 6 4 12 18 15 11 13 17 28 26 16 14 10 3 8 1 23 21 24 19 29 30 2 5 22 20 ,2031830,25
SL-UT-C CR-PMX PR-16,3,3 14 25 10 11 9 30 23 18 12 13 22 2 17 4 26 29 24 15 7 27 8 1 20 21 16 5 28 19 6 ,2120500,17 16 28 30 5 22 25 27 14 8 6 12 23 9 2 3 10 29 20 15 4 24 21 19 11 1 13 26 18 7 ,2031860,30
SL-UT CR-OX PR-25,1,22 29 18 13 12 1 6 19 4 17 10 23 5 2 11 28 9 26 3 27 15 16 25 20 21 7 8 24 30 14 ,2123590,25 3 16 6 2 18 28 13 7 11 23 15 22 19 26 20 24 27 21 1 5 8 9 14 17 12 30 29 4 10 ,2032950,39
SL-UT CR-OX PR-25,4,16 27 26 20 28 7 12 4 6 18 2 5 23 17 13 8 29 24 1 10 22 3 21 30 14 19 15 11 9 25 ,2123530,28 21 4 3 19 25 23 7 29 27 11 22 20 8 18 2 17 10 9 14 24 16 26 15 13 30 12 5 6 1 ,2033530,62
SL-UT-C CR-OX PR-16,1,18 1 29 23 24 17 6 21 7 26 13 28 27 16 8 14 3 15 5 10 22 30 25 11 19 12 4 9 20 2 ,2133540,27 3 8 20 1 10 15 25 24 30 22 11 26 7 5 13 14 29 23 28 18 19 17 12 2 6 9 21 16 4 ,2033890,41
SL-B CR-PMX PR-50,1,26 3 5 18 11 20 14 19 8 21 29 10 15 30 24 2 23 22 1 4 16 25 28 6 13 27 7 17 12 9 ,2124590,11 20 12 1 18 23 17 25 28 22 3 9 7 6 8 4 5 15 27 21 2 30 14 26 13 29 19 10 24 16 ,2033980,76
SL-UT-C CR-OX PR-25,4,13 20 10 26 4 29 11 14 17 30 27 28 6 5 7 15 22 24 1 3 8 18 16 21 9 23 2 25 12 19 ,2106110,10 26 27 13 21 3 7 1 25 11 8 5 6 16 15 18 22 17 9 30 2 14 24 28 20 29 23 19 4 12 ,2034990,5
SL-UT CR-OX PR-25,5,21 24 11 5 1 18 30 23 26 17 2 14 27 10 3 8 16 22 20 15 6 29 9 13 28 25 4 19 7 12 ,2105450,10 15 12 26 25 9 16 19 21 17 18 3 11 22 28 5 27 29 13 6 24 1 4 8 14 30 7 23 2 20 ,2035440,23
SL-UT CR-OX PR-50,4,11 18 9 7 1 27 20 14 22 17 28 25 26 30 15 8 24 13 21 16 10 29 3 4 19 6 12 5 2 23 ,2118080,22 13 27 2 4 6 18 20 24 8 1 7 28 11 26 29 17 15 10 21 9 30 16 5 14 12 19 23 25 3 ,2035630,16
SL-UT CR-OX PR-16,3,26 12 5 1 18 27 10 15 23 14 30 2 9 16 20 21 24 7 13 4 8 19 25 6 29 3 11 17 22 28 ,2133010,4 22 5 10 29 26 28 3 19 20 11 25 2 18 27 13 9 23 1 8 14 16 17 15 6 12 30 24 21 7 ,2036130,35
SL-UT-C CR-PMX PR-25,2,17 24 9 11 25 1 7 28 23 2 12 22 14 3 21 18 5 29 10 15 27 16 13 6 30 19 8 20 26 4 ,2124910,12 15 19 2 22 14 1 9 6 28 8 4 23 3 21 18 5 26 10 24 25 17 20 13 7 16 11 29 30 27 ,2036370,26
SL-UT-C CR-OX PR-50,3,7 4 17 12 24 25 11 15 23 8 29 21 3 1 5 30 20 10 27 9 18 28 19 2 26 22 13 14 16 6 ,2102700,23 11 25 22 4 16 7 13 6 8 29 21 3 1 5 30 20 10 27 9 18 28 19 2 26 17 12 24 14 15 ,2036430,19
SL-UT-C CR-PMX PR-16,2,16 29 11 23 14 30 25 6 12 7 20 18 4 2 28 8 5 3 10 22 27 24 9 19 26 17 13 1 15 21 ,2130250,15 10 30 11 25 13 3 14 18 26 21 28 8 2 27 6 16 20 24 1 5 23 22 29 7 12 19 17 4 9 ,2036700,37
SL-UT CR-OX PR-50,2,6 3 30 14 24 7 1 27 16 29 12 25 18 9 20 28 17 8 10 5 19 15 13 21 2 26 22 11 4 23 ,2134720,28 10 29 25 22 3 13 14 17 19 27 7 1 23 20 18 21 15 2 5 16 30 9 12 24 4 11 26 6 8 ,2037090,26
SL-UT CR-OX PR-16,1,21 1 19 16 24 11 22 26 6 30 8 5 17 2 3 23 15 12 9 20 27 4 18 25 10 14 7 28 13 29 ,2151670,27 19 7 20 4 10 22 17 15 21 2 24 1 11 29 30 23 12 9 6 14 16 3 26 8 18 25 13 5 28 ,2037140,53
SL-UT-C CR-OX PR-25,3,5 11 1 16 10 26 25 19 2 24 9 4 23 21 28 13 17 22 18 29 30 20 8 3 14 15 6 7 12 27 ,2124560,11 18 29 30 14 10 28 22 25 13 1 16 15 20 23 12 9 26 5 24 6 4 8 17 27 19 2 3 21 7 ,2037730,35
SL-B CR-OX PR-16,4,13 19 10 14 29 30 4 27 24 20 12 5 2 6 21 7 16 1 26 11 28 15 18 23 25 17 22 3 9 8 ,2125040,13 1 15 4 7 2 20 22 23 9 3 30 8 12 24 26 27 17 11 19 18 29 10 21 25 14 6 16 28 5 ,2037970,125
SL-UT-C CR-OX PR-25,2,18 9 4 28 6 24 21 12 22 1 20 23 8 17 30 19 16 10 7 15 26 25 13 27 11 2 14 5 29 3 ,2119940,11 20 23 1 10 24 2 29 12 3 26 22 14 18 8 28 5 16 21 17 19 6 30 13 9 15 7 25 4 27 ,2037980,44
SL-UT-C CR-OX PR-50,5,25 8 22 9 19 13 23 6 26 27 28 20 24 1 2 7 14 3 10 16 11 21 18 15 29 17 5 4 30 12 ,2134200,27 23 16 11 21 14 9 3 5 15 17 20 18 6 12 2 13 1 29 7 10 8 25 4 19 26 30 22 24 28 ,2039030,21
SL-UT CR-OX PR-25,3,5 16 20 26 11 3 27 7 9 22 28 17 6 29 1 15 10 18 12 23 2 21 13 14 19 4 8 30 24 25 ,2120760,18 8 19 14 6 24 13 3 4 9 17 5 10 28 7 25 15 20 23 16 1 30 27 2 12 21 22 11 26 29 ,2040540,41
SL-B CR-OX PR-16,2,24 6 9 4 13 1 23 7 22 11 21 3 8 2 14 27 26 29 30 15 28 12 17 5 10 18 19 25 20 16 ,2141490,21 19 6 30 26 22 9 15 11 29 24 27 10 7 4 25 17 28 3 1 18 12 16 5 8 23 14 20 13 2 ,2041100,110
SL-UT-C CR-OX PR-50,1,24 28 8 26 19 2 9 7 29 30 13 23 17 15 10 21 14 1 18 27 4 20 12 16 11 3 6 5 25 22 ,2120740,27 14 15 18 23 9 3 16 11 1 24 12 26 28 6 4 20 2 17 29 10 22 19 7 8 21 30 5 25 13 ,2041400,18
SL-UT-C CR-PMX PR-25,1,26 20 3 14 18 28 4 30 29 17 23 16 27 19 1 24 12 7 25 2 21 13 15 6 8 5 9 11 22 10 ,2112120,22 8 12 14 18 28 4 30 29 25 3 16 27 19 1 24 17 7 23 2 21 13 15 6 10 20 9 11 5 26 ,2042640,34
SL-UT-C CR-OX PR-50,2,29 17 14 25 11 16 19 18 5 15 6 7 30 13 28 3 21 9 27 1 26 24 10 8 2 12 23 20 4 22 ,2111230,5 7 16 2 22 14 30 6 12 11 15 1 29 20 18 13 3 27 23 25 26 9 19 10 4 21 8 28 24 17 ,2043180,18
SL-UT-C CR-OX PR-16,4,8 21 25 18 12 9 15 16 20 26 3 1 22 11 28 19 17 29 7 2 6 4 24 27 14 10 13 30 5 23 ,2116810,8 7 18 28 25 16 6 2 19 26 5 27 9 17 13 30 15 23 3 20 21 1 22 14 29 12 24 11 4 10 ,2043190,41
SL-B CR-OX PR-25,2,22 11 16 3 28 29 12 26 21 8 14 20 23 1 4 17 18 15 5 13 27 9 7 10 6 2 25 24 19 30 ,2133230,3 7 11 25 24 18 8 5 19 2 30 4 20 23 14 29 16 12 13 6 21 28 1 26 15 27 17 22 9 10 ,2044160,21
SL-B CR-PMX PR-25,3,28 10 5 21 13 7 20 4 18 17 26 3 15 11 12 9 24 23 27 16 22 1 30 8 19 29 2 25 14 6 ,2080520,24 13 16 26 19 20 8 17 27 4 18 28 14 29 30 2 5 3 10 7 9 23 21 12 1 6 11 15 25 22 ,2044430,56
SL-B CR-OX PR-16,1,24 26 15 28 11 1 2 17 19 21 14 27 4 3 20 7 29 30 6 13 8 22 23 5 16 10 9 25 12 18 ,2087000,14 1 4 29 7 23 26 10 30 12 2 5 6 3 11 15 22 17 27 18 8 21 9 16 24 25 13 28 20 19 ,2045300,138
SL-UT-C CR-OX PR-25,1,13 18 1 16 23 29 7 21 12 4 10 11 24 25 5 3 30 6 8 17 14 9 26 20 27 15 2 19 28 22 ,2125200,26 1 6 29 16 21 4 13 27 25 15 8 11 23 22 20 3 14 7 12 17 24 19 28 30 5 18 9 2 10 ,2046120,34
SL-B CR-PMX PR-16,3,21 19 6 30 25 24 13 16 10 17 2 8 5 23 27 12 15 29 3 1 22 7 26 14 28 4 18 20 9 11 ,2136250,6 16 23 9 28 25 12 17 1 22 8 30 27 21 2 13 10 5 15 20 29 7 3 11 18 4 19 14 24 26 ,2046280,61
SL-UT-C CR-OX PR-50,4,21 13 8 27 30 22 15 24 25 29 10 1 17 2 4 7 26 11 9 5 19 18 6 16 14 20 28 3 23 12 ,2144500,20 11 7 25 29 19 21 4 2 3 26 23 27 17 12 9 8 14 6 24 16 1 5 28 15 22 30 13 10 18 ,2049230,16
SL-UT CR-OX PR-16,5,13 27 5 4 11 10 20 22 16 21 1 3 25 15 14 17 8 30 29 9 28 2 12 6 26 23 18 19 7 24 ,2134470,5 24 26 8 14 11 30 12 19 2 28 29 9 18 21 13 27 23 3 25 22 7 4 16 1 17 6 20 15 10 ,2049610,92
SL-UT-C CR-OX PR-16,2,5 27 17 23 26 16 25 11 28 15 10 18 30 22 20 24 29 8 12 2 19 3 1 6 13 14 9 21 4 7 ,2101430,14 10 29 23 25 1 28 7 4 2 15 5 26 24 20 17 6 21 19 22 27 16 3 13 9 11 12 18 30 8 ,2054680,33
SL-UT CR-OX PR-25,2,28 14 9 4 29 21 6 5 18 30 16 20 3 11 2 13 8 1 26 7 15 27 25 24 22 10 17 12 23 19 ,2127800,4 3 8 24 6 19 2 25 7 28 23 17 1 22 30 14 10 15 9 26 29 5 20 16 21 27 18 12 11 13 ,2055870,42
