Configuration;Iteration;The initial best way;Its distance;The best way after algorithm;Its distance
SL-UT CR-OX PR-50;2;16 4 11 12 20 28 27 23 30 13 15 5 21 9 29 7 6 8 25 26 19 17 2 10 1 3 14 24 22 18 ;2.12224e+06;18 24 12 22 20 28 27 23 30 13 15 5 21 9 29 7 6 8 25 26 19 17 2 10 1 3 4 16 11 14 ;2.0601e+06;18
SL-UT CR-OX PR-50;3;5 12 13 4 6 30 22 18 16 23 29 3 8 27 19 24 9 20 21 28 2 11 10 17 1 26 7 14 15 25 ;2.14402e+06;21 30 14 8 25 7 12 18 11 27 24 22 23 15 13 6 1 2 20 10 16 9 29 3 26 28 4 5 19 17 ;2.021e+06;29
SL-UT CR-OX PR-50;4;18 26 15 24 21 23 25 20 22 30 7 3 17 10 27 8 16 13 28 1 4 12 9 29 5 14 6 2 19 11 ;2.12132e+06;22 3 8 16 28 9 25 5 30 15 14 4 11 12 13 21 10 29 1 26 7 19 23 2 20 6 18 17 24 27 ;2.03756e+06;26
SL-UT CR-OX PR-50;5;15 5 2 6 17 28 24 30 3 26 13 25 22 12 29 9 1 10 14 20 11 19 16 8 27 18 4 23 7 21 ;2.12852e+06;6 18 5 2 30 28 19 7 15 21 26 13 23 1 24 4 27 3 14 17 29 9 20 8 22 12 25 10 16 11 ;2.02138e+06;30
SL-UT CR-PMX PR-16;1;23 9 3 19 15 30 2 17 1 29 6 16 25 21 10 13 20 7 4 26 11 14 18 8 12 24 22 5 28 27 ;2.10718e+06;22 9 17 27 4 18 19 12 21 2 1 11 15 10 20 28 7 13 24 14 8 23 26 6 3 25 5 16 30 29 ;2.0145e+06;147
SL-UT CR-PMX PR-16;2;14 25 11 24 27 19 16 8 17 26 15 4 12 21 18 6 23 3 1 20 28 13 9 29 30 7 5 10 2 22 ;2.13862e+06;10 17 27 26 15 25 16 30 8 14 4 5 12 21 18 6 23 3 1 20 28 13 9 29 24 7 19 11 2 22 ;1.99064e+06;146
SL-UT CR-PMX PR-16;3;10 28 2 19 18 17 29 7 5 23 6 4 9 12 8 3 20 1 15 21 24 22 30 16 26 25 13 27 14 11 ;2.13328e+06;25 14 13 16 18 26 27 10 9 2 20 1 23 28 5 30 17 21 3 7 19 24 15 11 12 8 29 4 22 6 ;2.00948e+06;138
SL-UT CR-PMX PR-16;4;16 8 3 29 13 25 27 22 21 30 10 28 5 12 24 2 18 15 20 6 26 7 9 23 19 1 11 14 4 17 ;2.11269e+06;23 14 30 21 13 4 6 8 7 12 1 16 24 17 5 2 19 25 20 27 15 26 11 3 18 22 28 9 29 10 ;1.99385e+06;160
SL-UT CR-PMX PR-16;5;14 22 26 4 30 19 9 25 17 21 8 2 10 6 20 23 13 11 16 1 18 5 3 29 24 27 7 28 12 15 ;2.11308e+06;20 3 29 6 16 19 25 9 5 30 23 18 12 4 21 1 13 10 8 24 7 14 26 28 22 17 2 27 11 15 ;2.00105e+06;133
SL-UT CR-PMX PR-25;1;23 16 14 17 19 18 29 4 7 12 2 1 13 27 6 11 15 28 9 25 3 5 24 26 10 20 30 21 22 8 ;2.12057e+06;5 3 29 9 30 24 26 20 14 6 28 21 11 10 19 16 2 4 12 23 8 1 27 13 25 15 17 18 22 7 ;2.02972e+06;27
