Configuration,Iteration,The initial best way,Its distance,The best way after algorithm,Its distance
SL-B B-33 PS-50 PR-50 SV-10 GI-0.5,3,10 3 11 8 12 7 1 5 2 9 6 4 ,1784,9 4 1 5 7 12 6 2 8 11 10 3 ,1680
SL-B B-33 PS-50 PR-50 SV-50 GI-0.3,1,3 4 9 1 7 2 11 6 12 5 10 8 ,1804,8 10 5 11 2 6 12 4 3 7 1 9 ,1680
SL-B B-50 PS-50 PR-50 SV-50 GI-0.5,2,3 5 10 1 12 11 2 8 9 7 6 4 ,1792,9 4 7 6 11 12 5 8 1 2 10 3 ,1680
SL-B B-50 PS-50 PR-50 SV-100 GI-0.4,3,1 8 5 7 4 6 12 3 9 2 11 10 ,1776,8 10 5 11 12 6 7 1 3 2 4 9 ,1680
SL-B B-50 PS-50 PR-50 SV-100 GI-0.5,2,10 11 6 4 7 12 2 3 9 1 5 8 ,1788,9 4 5 7 12 11 6 2 1 10 3 8 ,1680
SL-UT PS-20 PR-10 SV-100 GI-0.4,3,7 6 11 2 1 9 12 10 8 5 4 3 ,1776,9 4 5 6 11 7 12 10 1 2 3 8 ,1680
SL-UT PS-50 PR-50 SV-10 GI-0.4,2,7 6 3 2 5 10 12 8 11 1 4 9 ,1806,3 2 7 10 6 12 5 1 8 11 4 9 ,1680
SL-UT PS-50 PR-50 SV-100 GI-0.4,3,7 10 4 11 6 1 12 2 9 5 8 3 ,1802,3 10 12 11 6 5 7 8 2 1 4 9 ,1680
SL-UTC PS-20 PR-6 SV-50 GI-0.5,1,5 8 10 12 11 2 6 1 3 7 9 4 ,1734,8 5 10 11 12 2 6 1 3 7 4 9 ,1680
SL-B B-2 PS-10 PR-5 SV-100 GI-0.5,1,8 1 4 6 9 12 7 3 5 2 11 10 ,1798,9 4 7 6 12 11 2 5 1 10 3 8 ,1682
SL-B B-2 PS-10 PR-5 SV-100 GI-0.5,3,12 8 4 11 1 10 7 6 9 5 2 3 ,1806,4 1 7 9 11 6 12 5 8 10 2 3 ,1682
SL-B B-4 PS-20 PR-6 SV-100 GI-0.3,2,1 5 7 4 12 9 2 6 8 10 3 11 ,1814,9 4 6 1 7 11 12 5 8 10 2 3 ,1682
SL-B B-6 PS-20 PR-10 SV-100 GI-0.3,2,8 11 4 5 1 12 6 10 9 3 2 7 ,1802,8 1 4 7 6 5 12 11 9 2 10 3 ,1682
SL-B B-10 PS-20 PR-10 SV-100 GI-0.3,2,3 2 5 6 12 4 10 11 8 1 7 9 ,1758,9 4 7 6 12 11 2 5 1 10 3 8 ,1682
SL-B B-20 PS-20 PR-20 SV-100 GI-0.4,2,9 2 12 5 3 11 7 4 10 1 6 8 ,1824,8 10 5 11 12 7 2 6 3 1 4 9 ,1682
SL-B B-10 PS-50 PR-16 SV-10 GI-0.3,3,10 8 12 11 4 5 2 7 3 6 9 1 ,1784,8 10 12 11 6 5 2 7 3 1 9 4 ,1682
SL-B B-2 PS-50 PR-16 SV-10 GI-0.5,1,3 12 10 11 2 5 6 7 8 9 4 1 ,1724,3 12 10 11 2 5 6 7 8 1 9 4 ,1682
SL-B B-16 PS-50 PR-16 SV-50 GI-0.5,2,10 6 12 7 11 5 8 3 2 1 4 9 ,1778,8 10 12 11 6 5 2 7 3 1 9 4 ,1682
SL-B B-2 PS-50 PR-25 SV-50 GI-0.4,3,3 2 7 6 11 10 5 1 9 12 8 4 ,1744,3 2 6 10 12 11 5 1 8 7 9 4 ,1682
SL-B B-50 PS-50 PR-50 SV-50 GI-0.4,2,5 3 10 11 9 4 6 7 2 12 1 8 ,1806,9 4 7 6 12 11 2 5 1 10 3 8 ,1682
SL-B B-50 PS-50 PR-50 SV-50 GI-0.5,2,9 4 2 1 7 8 11 10 6 3 12 5 ,1794,3 2 7 6 12 10 5 1 8 11 4 9 ,1682
SL-B B-3 PS-10 PR-5 SV-50 GI-0.3,2,3 9 7 4 5 11 6 8 1 12 10 2 ,1800,9 4 5 11 12 10 7 6 1 2 3 8 ,1682
SL-B B-6 PS-10 PR-10 SV-50 GI-0.5,1,9 10 6 12 11 5 2 4 3 1 7 8 ,1824,3 10 11 12 6 5 2 7 8 1 4 9 ,1682
SL-B B-2 PS-50 PR-16 SV-50 GI-0.3,1,5 12 3 10 6 11 1 7 2 8 4 9 ,1776,8 10 2 6 11 7 12 5 3 1 4 9 ,1682
SL-B B-10 PS-50 PR-16 SV-50 GI-0.5,3,9 12 4 3 7 5 6 11 10 2 1 8 ,1816,8 2 10 7 12 5 11 6 3 1 4 9 ,1682
SL-B B-10 PS-50 PR-16 SV-100 GI-0.4,2,9 3 5 1 12 10 11 7 4 2 8 6 ,1776,9 1 5 7 6 2 12 11 4 10 3 8 ,1682
SL-B B-16 PS-50 PR-25 SV-50 GI-0.3,3,2 7 8 3 6 5 12 1 10 11 9 4 ,1766,3 2 12 6 11 5 7 9 10 1 4 8 ,1682
SL-B B-33 PS-50 PR-50 SV-10 GI-0.4,2,3 12 6 2 10 7 11 1 8 4 5 9 ,1762,8 3 2 5 12 11 6 1 10 7 4 9 ,1682
SL-B B-33 PS-50 PR-50 SV-100 GI-0.4,1,3 9 1 7 6 2 11 12 4 10 5 8 ,1762,9 1 5 7 6 2 12 11 4 10 3 8 ,1682
