Configuration;Iteration;The initial best way;Its distance;The best way after algorithm;Its distance
SL-R CR-OX PR-50;1;19 17 22 4 2 1 27 16 20 11 21 13 25 26 6 8 15 24 29 28 3 23 14 18 12 9 7 10 5 30 ;2.13414e+06;10 24 26 30 1 29 2 5 28 11 6 8 27 4 3 19 12 9 15 18 13 25 22 14 16 20 23 21 7 17 ;2.08423e+06;169
SL-R CR-OX PR-50;2;17 15 3 20 14 16 13 27 29 6 12 9 2 22 8 5 19 7 26 24 10 23 21 11 1 25 28 30 4 18 ;2.09571e+06;12 16 22 11 14 4 30 28 8 9 21 29 20 3 26 18 23 10 24 6 1 27 25 15 5 7 19 2 13 17 ;2.06325e+06;168
SL-R CR-OX PR-50;3;2 7 5 6 8 4 1 9 18 29 15 13 16 11 30 28 27 21 14 19 25 20 23 12 26 10 24 17 22 3 ;2.13955e+06;16 18 19 17 21 23 12 15 11 13 8 10 22 25 27 29 7 5 30 4 14 1 3 6 26 28 9 2 24 20 ;2.09964e+06;122
SL-R CR-PMX PR-16;1;8 11 4 22 9 10 1 26 21 18 2 14 6 20 13 24 25 17 28 29 30 15 27 5 7 12 19 23 3 16 ;2.13818e+06;8 3 20 19 7 5 4 23 14 11 1 10 18 16 22 2 9 17 21 15 13 30 12 27 25 29 24 26 6 28 ;2.08544e+06;140
SL-R CR-PMX PR-16;2;28 23 11 12 4 30 19 2 1 26 16 18 22 5 14 8 6 25 13 3 27 15 10 20 29 9 7 21 24 17 ;2.10119e+06;16 17 30 8 26 9 11 7 1 18 24 12 20 2 10 15 28 21 29 25 6 23 5 27 3 14 19 13 4 22 ;2.09612e+06;117
SL-R CR-PMX PR-16;3;12 3 30 2 18 13 11 22 21 6 20 10 9 4 25 8 15 16 17 28 19 7 14 24 1 27 23 29 5 26 ;2.14746e+06;1 17 3 14 6 25 5 8 10 4 23 11 21 22 13 19 26 20 7 30 2 18 15 16 24 9 12 27 28 29 ;2.07356e+06;194
SL-R CR-PMX PR-25;1;9 19 27 21 22 12 14 8 10 30 23 13 20 6 11 2 5 18 29 28 24 1 3 4 15 26 25 16 7 17 ;2.11907e+06;28 24 4 8 21 22 11 13 25 18 30 6 7 20 5 29 9 17 15 2 16 19 26 3 10 14 27 1 23 12 ;2.09847e+06;293
SL-R CR-PMX PR-25;2;17 16 12 1 25 19 30 15 22 27 7 18 20 6 21 4 28 26 3 14 29 24 23 13 5 9 11 8 2 10 ;2.10885e+06;19 23 12 29 18 8 6 9 27 4 20 28 26 24 16 5 3 10 15 1 21 14 7 11 17 2 30 25 22 13 ;2.08672e+06;205
SL-R CR-PMX PR-25;3;4 15 14 17 29 13 19 6 23 5 10 21 27 9 18 1 12 3 26 22 2 24 11 28 20 8 25 16 30 7 ;2.1321e+06;6 4 5 1 14 11 28 30 18 2 29 21 20 24 26 27 12 9 15 8 17 10 16 7 13 23 25 19 22 3 ;2.07669e+06;184
SL-R CR-PMX PR-50;1;9 12 2 22 11 18 16 27 29 4 23 6 3 28 21 7 24 14 8 10 20 25 30 1 15 26 13 17 19 5 ;2.14593e+06;18 28 3 7 25 5 27 26 9 11 6 16 4 19 20 1 8 13 2 12 17 30 15 29 24 22 23 14 10 21 ;2.05245e+06;276
SL-R CR-PMX PR-50;2;19 17 28 5 1 21 22 24 7 23 29 6 25 11 27 2 8 16 30 9 15 10 12 20 3 26 4 13 14 18 ;2.13274e+06;23 17 16 11 19 8 27 28 1 13 25 20 4 18 12 6 10 24 14 30 9 2 3 15 7 21 26 5 22 29 ;2.08378e+06;194
SL-R CR-PMX PR-50;3;1 27 25 10 13 26 3 15 20 4 30 7 24 6 23 16 21 5 19 22 18 2 11 12 8 28 17 14 9 29 ;2.11667e+06;2 10 9 6 22 23 14 29 19 15 3 25 12 4 8 27 13 21 7 18 11 28 17 16 5 26 24 30 1 20 ;2.08214e+06;211
