Configuration;Iteration;The initial way;Its distance;The best way after algorithm;Its distance
SL-R PR-33 GI-0.2;2;21 17 22 19 8 13 26 15 16 27 3 30 7 25 24 18 12 20 11 1 10 5 23 14 4 28 2 29 9 6 ;2.1889e+06;25 22 10 18 19 11 13 15 16 27 12 30 3 21 26 8 1 29 17 7 28 5 23 9 4 24 2 20 14 6 ;1.97248e+06
SL-R PR-33 GI-0.2;3;14 19 29 18 30 24 9 23 5 27 21 2 6 20 1 3 22 13 11 12 16 25 7 4 15 8 10 17 28 26 ;2.23015e+06;12 21 25 18 30 2 24 23 5 27 28 8 3 10 13 9 22 1 16 14 11 26 7 20 15 17 4 29 19 6 ;1.9557e+06
SL-R PR-33 GI-0.2;4;22 1 3 4 26 25 17 28 16 19 21 23 8 29 20 30 10 5 27 24 6 14 2 18 11 9 13 15 12 7 ;2.18425e+06;10 9 15 4 23 25 28 17 20 19 21 22 8 3 16 30 7 2 18 6 24 14 29 11 12 5 13 26 27 1 ;1.96237e+06
SL-R PR-33 GI-0.2;5;17 27 25 18 30 28 21 12 2 26 1 11 23 14 3 7 6 10 22 20 13 4 9 24 29 15 8 16 19 5 ;2.17203e+06;29 10 9 3 30 23 14 12 8 26 24 5 6 13 22 7 28 4 18 1 21 16 17 11 20 15 25 27 19 2 ;1.95649e+06
SL-R PR-33 GI-0.3;1;24 11 14 26 1 25 17 6 2 28 8 29 21 10 27 9 5 12 20 19 13 30 18 23 7 16 3 15 22 4 ;2.16495e+06;24 27 14 26 8 25 18 30 2 19 12 1 17 10 13 9 5 29 20 28 3 6 21 16 7 11 23 15 4 22 ;1.95486e+06
SL-R PR-33 GI-0.3;2;17 18 10 30 25 20 12 26 9 4 1 7 15 28 13 2 14 27 21 22 19 5 23 11 24 3 16 8 29 6 ;2.20044e+06;1 16 10 29 4 24 12 23 6 8 28 7 15 5 13 9 14 27 21 17 19 26 22 2 20 3 25 18 30 11 ;1.93839e+06
SL-R PR-33 GI-0.3;3;2 21 10 6 13 12 17 14 7 24 20 9 1 23 11 30 5 16 22 4 3 25 26 19 15 28 29 27 18 8 ;2.23328e+06;20 8 7 6 19 12 3 2 17 24 27 1 25 15 11 30 23 9 18 4 22 14 26 10 5 28 29 16 21 13 ;1.982e+06
SL-R PR-33 GI-0.3;4;11 18 19 21 28 25 24 16 9 22 3 5 13 29 27 26 1 2 20 10 7 14 12 8 30 6 15 23 17 4 ;2.12081e+06;11 18 19 28 21 25 24 29 9 22 3 5 27 15 6 10 1 2 17 12 7 14 20 8 30 4 13 23 26 16 ;1.97294e+06
SL-R PR-33 GI-0.3;5;28 21 22 24 2 15 30 17 6 10 3 11 12 19 29 5 16 9 14 27 13 4 26 7 20 18 1 25 8 23 ;2.23332e+06;17 21 23 12 25 22 30 6 9 10 15 11 24 14 29 5 16 3 20 27 1 4 19 8 26 18 28 13 7 2 ;1.94238e+06
SL-R PR-33 GI-0.5;1;22 30 10 9 19 24 3 25 16 1 21 18 20 17 13 2 12 11 23 6 14 5 8 28 27 15 26 7 4 29 ;2.19289e+06;25 20 10 18 14 30 3 22 16 1 21 19 24 17 5 2 12 11 8 6 13 26 27 28 9 15 23 7 4 29 ;1.96041e+06
SL-R PR-33 GI-0.5;2;28 22 21 7 9 15 8 29 13 10 18 3 11 16 25 26 17 14 24 27 12 4 23 19 20 2 5 30 1 6 ;2.27187e+06;9 22 19 7 2 24 28 29 1 3 26 10 25 16 11 5 17 14 15 27 12 20 23 30 6 8 21 18 13 4 ;1.98194e+06
SL-R PR-33 GI-0.5;3;5 28 9 16 14 12 24 25 17 21 22 15 30 23 29 13 11 4 10 20 18 1 26 8 6 7 3 2 19 27 ;2.23383e+06;5 28 2 16 8 23 24 7 25 14 21 1 30 13 29 12 11 4 10 17 18 15 26 20 6 3 9 27 19 22 ;1.96958e+06
SL-R PR-33 GI-0.5;4;26 16 25 23 24 4 12 8 28 2 18 29 6 13 14 19 21 22 30 5 10 15 3 20 11 17 1 9 7 27 ;2.17685e+06;29 16 22 23 24 4 25 8 6 2 18 20 12 13 14 19 5 28 1 3 15 21 17 10 11 27 30 9 7 26 ;2.00987e+06
SL-R PR-33 GI-0.5;5;1 10 17 2 9 15 5 8 11 16 4 29 23 19 14 20 3 7 12 22 25 24 28 26 27 18 21 6 30 13 ;2.17998e+06;16 24 19 2 9 15 18 12 11 28 17 7 23 1 14 29 3 20 8 22 27 10 21 26 4 13 25 6 5 30 ;1.94181e+06
SL-R PR-50 GI-0.1;1;26 27 16 23 19 30 21 10 6 25 24 17 20 8 1 18 22 2 11 7 12 15 3 29 9 13 4 14 5 28 ;2.18982e+06;7 27 6 5 19 30 10 21 2 16 18 26 8 17 12 28 22 23 11 13 15 1 3 29 9 24 25 14 4 20 ;1.96369e+06
SL-R PR-50 GI-0.1;2;27 21 30 15 26 18 7 5 2 22 9 25 16 1 24 6 8 28 10 13 12 17 11 19 4 3 23 29 20 14 ;2.22432e+06;10 12 25 11 23 18 14 5 3 22 9 19 16 1 7 20 4 8 27 2 15 17 21 24 6 13 26 29 30 28 ;1.92902e+06
SL-R PR-50 GI-0.1;3;3 9 7 20 22 16 24 12 10 4 23 18 29 6 26 30 13 2 5 15 19 28 14 8 25 17 27 1 21 11 ;2.20392e+06;24 26 27 1 25 16 7 29 20 6 22 18 12 13 8 30 11 21 15 23 19 28 10 9 5 17 4 3 2 14 ;1.913e+06
SL-R PR-50 GI-0.1;4;23 19 12 22 21 10 16 26 11 25 6 27 14 4 17 15 5 3 24 20 2 30 9 1 29 18 7 28 13 8 ;2.19726e+06;5 10 7 22 8 2 18 4 17 12 6 28 14 11 15 13 20 3 24 27 25 30 9 21 29 1 23 19 26 16 ;1.96018e+06
SL-R PR-50 GI-0.1;5;27 17 20 3 21 4 13 30 14 19 24 2 11 18 7 25 29 10 9 22 15 26 5 28 6 8 12 16 23 1 ;2.19762e+06;10 17 20 9 21 4 13 18 14 22 24 23 11 30 7 28 27 29 3 5 15 1 19 12 6 8 25 16 2 26 ;1.9827e+06
SL-R PR-50 GI-0.2;1;26 5 11 15 4 13 30 29 28 14 21 23 1 19 18 27 6 3 16 2 20 25 9 10 7 22 17 24 12 8 ;2.25309e+06;22 5 11 30 4 29 6 9 28 26 21 14 2 19 23 20 7 27 16 1 18 25 8 15 10 3 17 24 12 13 ;1.97463e+06
SL-R PR-50 GI-0.2;2;4 24 1 23 14 7 5 26 21 18 10 20 11 13 27 25 19 9 17 29 22 15 2 6 12 8 28 16 3 30 ;2.17989e+06;10 24 4 6 15 25 5 26 23 9 19 20 11 1 22 7 30 18 17 29 27 14 2 12 28 8 21 16 3 13 ;1.96405e+06
SL-R PR-50 GI-0.2;3;9 5 16 2 17 18 6 15 7 30 4 26 23 25 3 19 21 27 8 11 12 20 1 14 29 13 24 22 10 28 ;2.19246e+06;8 5 16 2 30 28 14 22 7 19 9 12 23 17 25 4 21 15 6 11 26 20 1 13 10 29 24 27 18 3 ;1.95542e+06
SL-R PR-50 GI-0.2;4;3 22 10 12 13 9 23 14 2 26 18 30 17 1 16 5 6 8 24 15 21 25 19 11 4 29 27 28 20 7 ;2.23073e+06;29 22 10 25 23 15 18 14 16 6 12 30 17 1 24 11 27 8 9 21 3 2 19 5 20 26 13 28 4 7 ;1.93935e+06
SL-R PR-50 GI-0.2;5;15 16 3 18 7 29 6 9 22 28 4 25 17 21 20 14 10 11 2 30 23 5 8 26 12 24 27 19 13 1 ;2.17732e+06;13 16 19 30 7 29 6 21 22 28 17 20 4 9 12 25 1 3 2 8 23 5 24 26 18 10 27 11 15 14 ;1.97852e+06
SL-R PR-50 GI-0.3;1;14 25 17 29 16 2 19 15 4 9 13 3 23 28 26 11 21 5 18 7 20 8 22 24 27 6 1 30 10 12 ;2.18722e+06;24 6 5 23 16 2 21 29 4 9 13 17 12 28 26 11 20 10 18 7 3 8 22 14 27 19 1 30 25 15 ;1.98321e+06
SL-R PR-50 GI-0.3;2;18 26 29 25 10 13 1 4 22 23 20 28 12 11 9 19 15 14 2 24 8 21 30 16 5 7 6 3 27 17 ;2.214e+06;21 6 29 25 14 13 7 15 28 23 17 22 9 2 12 19 1 11 4 20 8 18 10 16 30 26 24 3 27 5 ;1.98798e+06
SL-R PR-50 GI-0.3;3;22 11 14 13 28 23 8 16 15 21 29 3 10 12 26 7 6 24 17 9 25 2 30 18 5 27 4 19 1 20 ;2.21043e+06;7 19 16 26 25 2 8 28 4 13 29 3 10 12 18 22 21 24 17 9 23 14 11 5 20 30 15 1 6 27 ;1.94879e+06
SL-R PR-50 GI-0.3;4;29 6 20 4 24 12 19 3 2 1 23 17 27 10 18 11 15 8 22 21 7 9 5 30 28 14 26 13 16 25 ;2.1471e+06;29 6 20 24 12 13 7 3 9 1 11 22 19 10 2 4 15 27 21 17 8 5 18 30 28 23 26 14 16 25 ;1.95599e+06
SL-R PR-50 GI-0.3;5;22 8 28 27 29 18 4 19 6 15 1 11 16 2 13 25 26 24 3 10 20 9 21 12 14 5 30 17 23 7 ;2.13524e+06;22 8 25 29 6 18 4 23 14 15 1 12 16 28 13 2 26 10 3 5 20 9 21 11 24 17 30 27 19 7 ;1.9503e+06
SL-R PR-50 GI-0.5;1;17 21 14 8 2 29 6 10 26 30 13 19 7 3 5 22 24 11 15 12 23 28 1 27 4 16 18 9 20 25 ;2.22046e+06;17 12 2 8 7 22 5 11 26 30 13 21 28 3 18 4 24 10 15 29 23 19 1 27 14 16 20 9 6 25 ;1.98818e+06
SL-R PR-50 GI-0.5;2;23 17 18 30 29 7 4 1 28 11 20 19 8 9 22 3 13 27 14 21 26 16 2 25 6 24 12 15 5 10 ;2.1649e+06;8 10 18 30 17 9 4 27 28 11 13 25 16 14 22 3 20 1 24 21 12 23 2 7 6 15 26 29 5 19 ;1.95785e+06
SL-R PR-50 GI-0.5;3;20 3 8 1 26 12 10 23 24 18 5 14 30 29 16 17 2 13 11 25 19 15 4 21 27 7 9 6 22 28 ;2.22799e+06;5 21 30 1 6 26 25 10 24 18 20 14 28 29 16 8 2 13 12 23 19 11 15 17 27 9 7 3 22 4 ;1.96926e+06
SL-R PR-50 GI-0.5;4;15 4 26 14 11 7 28 22 1 8 2 13 23 18 20 9 5 19 10 6 3 27 29 25 12 24 16 21 30 17 ;2.26458e+06;15 9 2 8 11 6 12 25 14 22 20 13 28 18 26 7 1 19 10 3 27 5 4 23 29 24 16 21 30 17 ;1.92489e+06
SL-R PR-50 GI-0.5;5;18 1 5 7 27 21 24 20 26 25 4 9 10 2 14 15 17 8 3 23 29 13 22 28 11 30 19 16 12 6 ;2.21874e+06;17 15 19 29 16 2 24 5 9 20 4 3 12 14 21 26 27 8 1 23 7 13 22 28 11 10 30 18 25 6 ;1.96016e+06
SL-R PR-100 GI-0.1;1;20 6 16 12 27 10 26 23 29 7 4 5 21 2 30 28 8 9 1 24 22 25 3 15 18 17 14 11 13 19 ;2.16596e+06;27 29 16 12 26 23 11 21 6 7 9 15 14 1 30 28 8 20 10 24 22 25 2 3 18 17 19 5 13 4 ;1.94366e+06
SL-R PR-100 GI-0.1;2;9 11 4 15 22 5 18 21 24 23 8 1 2 12 29 20 13 27 14 26 10 19 17 25 28 16 30 3 6 7 ;2.13974e+06;12 26 4 25 22 5 27 6 24 21 20 1 29 11 10 9 13 18 14 8 2 19 17 15 28 16 30 3 23 7 ;1.97898e+06
SL-R PR-100 GI-0.1;3;15 21 10 13 26 12 11 20 1 25 19 17 27 22 30 2 29 7 14 3 23 24 16 9 18 5 4 8 28 6 ;2.22252e+06;27 20 8 19 26 21 16 29 25 28 9 10 1 22 30 2 11 3 14 7 18 5 6 12 23 24 4 17 13 15 ;1.95021e+06
SL-R PR-100 GI-0.1;4;9 24 18 10 6 22 21 29 13 28 30 1 12 8 5 7 25 2 16 20 26 11 19 4 17 3 14 15 23 27 ;2.20022e+06;7 24 18 2 6 11 1 22 13 23 10 4 12 27 5 19 25 9 3 20 29 26 14 21 8 16 17 15 28 30 ;1.94319e+06
SL-R PR-100 GI-0.1;5;2 6 22 7 28 1 17 30 19 13 12 4 26 5 9 8 18 23 10 16 20 14 11 3 21 15 24 29 27 25 ;2.18975e+06;2 6 5 23 25 1 20 17 4 26 12 30 14 9 27 19 16 7 10 8 13 18 11 3 21 15 24 28 22 29 ;1.95706e+06
SL-R PR-100 GI-0.2;1;11 27 16 5 30 18 8 13 21 2 6 22 4 17 20 9 25 7 24 14 10 26 23 19 29 12 15 3 1 28 ;2.23356e+06;13 27 2 17 30 16 4 3 9 8 28 22 11 1 24 29 12 6 20 14 10 5 7 18 21 25 15 19 23 26 ;1.95329e+06
SL-R PR-100 GI-0.2;2;7 3 25 11 13 18 19 5 1 20 29 6 10 24 14 16 12 4 9 2 15 21 27 8 26 23 17 28 22 30 ;2.17947e+06;10 3 25 28 11 19 18 20 1 16 29 17 7 24 8 6 12 5 27 2 23 21 9 4 26 14 13 15 22 30 ;1.92987e+06
SL-R PR-100 GI-0.2;3;15 17 1 19 2 27 21 12 25 14 20 24 30 11 9 22 6 5 3 29 26 8 4 16 23 28 7 10 18 13 ;2.1905e+06;21 27 5 19 22 15 25 2 1 9 14 24 20 4 12 30 6 10 3 29 7 8 17 16 11 28 26 23 18 13 ;1.94091e+06
SL-R PR-100 GI-0.2;4;22 11 20 9 6 17 14 3 18 15 12 25 4 26 19 27 30 23 28 10 24 1 13 2 5 29 8 7 16 21 ;2.19319e+06;20 11 14 5 7 6 26 3 8 15 12 25 23 9 28 27 4 30 18 13 24 1 10 2 17 21 19 22 16 29 ;1.98594e+06
SL-R PR-100 GI-0.2;5;10 26 13 24 11 2 6 23 17 4 28 8 3 22 14 7 18 27 15 19 20 1 5 25 30 21 16 9 12 29 ;2.23359e+06;2 8 14 20 11 13 6 10 18 12 28 24 3 4 19 25 17 27 15 5 16 1 23 22 30 21 26 9 7 29 ;1.94473e+06
SL-R PR-100 GI-0.3;1;23 10 6 8 11 2 13 7 4 3 27 24 15 12 18 14 30 25 21 19 9 29 20 22 17 1 5 26 16 28 ;2.23462e+06;23 9 6 13 11 2 20 10 4 28 8 14 21 12 22 26 18 24 15 5 29 25 19 27 17 16 30 3 7 1 ;1.94091e+06
SL-R PR-100 GI-0.3;2;5 18 20 8 1 3 14 13 19 9 15 24 30 17 7 11 26 2 21 16 29 10 27 22 28 6 25 23 12 4 ;2.16822e+06;13 5 11 30 2 3 6 10 19 9 28 8 16 17 7 15 12 23 21 24 29 1 27 22 20 14 25 18 26 4 ;1.97425e+06
SL-R PR-100 GI-0.3;3;29 2 30 9 8 16 4 12 22 18 19 14 13 5 23 21 27 26 6 24 25 7 11 15 1 28 20 17 10 3 ;2.20613e+06;28 2 30 10 19 3 7 9 27 20 18 14 13 11 23 21 22 26 6 24 25 12 5 15 29 16 8 17 4 1 ;1.96731e+06
SL-R PR-100 GI-0.3;4;23 20 4 14 16 6 9 17 30 1 27 24 26 22 11 25 3 8 5 7 15 10 29 21 13 12 2 28 18 19 ;2.23871e+06;8 20 4 2 16 19 7 27 18 25 17 24 12 10 3 9 11 22 14 5 15 26 29 21 13 1 23 28 30 6 ;1.93669e+06
SL-R PR-100 GI-0.3;5;27 20 17 4 7 18 19 21 5 16 29 25 3 9 30 23 28 8 13 11 2 22 26 6 14 12 10 1 15 24 ;2.19138e+06;27 3 6 4 30 18 7 21 23 22 29 26 2 15 28 5 8 20 13 11 9 14 25 1 17 12 10 16 19 24 ;1.9267e+06
SL-R PR-100 GI-0.5;1;22 9 16 27 7 4 17 29 8 28 12 6 30 2 19 11 1 3 15 25 5 26 10 24 14 18 20 13 21 23 ;2.19407e+06;28 23 25 27 7 22 17 9 10 4 2 14 30 13 19 21 1 3 8 29 5 26 15 24 6 18 16 20 11 12 ;1.9769e+06
SL-R PR-100 GI-0.5;2;6 8 16 5 24 12 13 22 2 26 21 11 17 25 20 30 19 14 4 29 15 10 28 23 1 9 3 27 18 7 ;2.20126e+06;12 8 16 9 25 6 13 22 3 23 21 11 28 24 18 19 29 20 10 30 15 26 17 14 27 2 5 1 4 7 ;1.96614e+06
SL-R PR-100 GI-0.5;3;21 25 30 14 2 18 13 4 5 9 27 16 29 8 28 11 7 20 15 12 19 26 3 17 6 24 23 22 10 1 ;2.1854e+06;26 25 30 6 27 18 13 4 3 9 21 16 12 7 22 5 8 20 15 29 10 28 11 14 17 2 23 24 19 1 ;1.93681e+06
SL-R PR-100 GI-0.5;4;26 11 1 24 20 12 25 17 22 2 7 4 5 27 18 8 6 9 21 13 15 19 30 28 16 10 14 3 29 23 ;2.20856e+06;14 11 22 5 12 4 7 17 1 27 28 9 24 26 20 8 6 29 21 13 19 18 30 25 16 10 2 3 15 23 ;1.99989e+06
SL-R PR-100 GI-0.5;5;11 29 21 25 16 8 10 12 23 28 14 19 9 2 30 15 27 4 20 1 17 26 24 7 13 18 22 5 6 3 ;2.18747e+06;25 14 21 4 7 17 30 11 23 29 10 19 9 2 28 1 27 6 20 13 12 18 24 16 8 26 22 5 15 3 ;1.99617e+06
